[ 2014-12-11T18:31:32+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2014-12-11T18:31:32+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.014767s ]
[ 2014-12-11T18:31:32+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.015124s ]
[ 2014-12-11T18:31:32+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2014-12-11T18:31:32+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.016586s ]
[ 2014-12-11T18:31:32+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.016862s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.031139s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.031484s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.074760s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.075044s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.001624s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.001772s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001129s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001735s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006840s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002573s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002789s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Common/verify/ | INFO: Tag[ route_check ] --START--
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Common/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.003534s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Common/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.003893s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Common/verify/ | INFO: Tag[ app_begin ] --START--
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Common/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002320s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Common/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002537s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.008104s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.008520s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.015403s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.016072s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.008480s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.008799s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.081956s ]
[ 2014-12-11T18:31:33+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.082230s ]
