[ 2014-11-26T20:41:28+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2014-11-26T20:41:28+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.005798s ]
[ 2014-11-26T20:41:28+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.006109s ]
[ 2014-11-26T20:41:28+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-26T20:41:28+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005033s ]
[ 2014-11-26T20:41:28+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005245s ]
[ 2014-11-26T20:41:28+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2014-11-26T20:41:28+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.009709s ]
[ 2014-11-26T20:41:28+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.009994s ]
[ 2014-11-26T20:41:28+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2014-11-26T20:41:29+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.080501s ]
[ 2014-11-26T20:41:29+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.080868s ]
[ 2014-11-26T20:41:29+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2014-11-26T20:41:29+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.005738s ]
[ 2014-11-26T20:41:29+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.004279s ]
[ 2014-11-26T20:41:29+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003601s ]
[ 2014-11-26T20:41:29+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.004424s ]
[ 2014-11-26T20:41:29+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.018656s ]
[ 2014-11-26T20:41:29+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_end ] --START--
