[ 2015-02-10T23:01:57+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2015-02-10T23:01:57+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.024934s ]
[ 2015-02-10T23:01:57+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.025268s ]
[ 2015-02-10T23:01:57+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-10T23:01:57+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003727s ]
[ 2015-02-10T23:01:57+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003952s ]
[ 2015-02-10T23:01:57+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.005731s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.005881s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.076646s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.076831s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.004212s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.003563s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002734s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002925s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.013763s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003760s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003919s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Common/verify/ | INFO: Tag[ route_check ] --START--
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Common/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.004871s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Common/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.005127s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Common/verify/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Common/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003625s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Common/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003771s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.002575s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.002813s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001633s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001774s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.005301s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.005480s ]
[ 2015-02-10T23:01:58+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2015-02-10T23:01:59+08:00 ] /gisproject/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.076365s ]
