[ 2015-01-02T18:32:11+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-01-02T18:32:11+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.037009s ]
[ 2015-01-02T18:32:11+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.056914s ]
[ 2015-01-02T18:32:12+08:00 ] /gisproject/ | SQL: SHOW COLUMNS FROM `tb_point` [ RunTime:0.159551s ]
[ 2015-01-02T18:32:12+08:00 ] /gisproject/ | SQL: SELECT timestamp,AsText(point),type,name,introduce,attention,score,uri FROM tb_point ORDER BY AsText(point),timestamp ASC  [ RunTime:0.105570s ]
[ 2015-01-02T18:32:12+08:00 ] /gisproject/ | NOTIC: [8] Undefined offset:  17 IndexAction.class.php 第 30 行.
[ 2015-01-02T18:32:12+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-01-02T18:32:12+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.021857s ]
[ 2015-01-02T18:32:12+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.022133s ]
[ 2015-01-02T18:32:12+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-01-02T18:32:12+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.143875s ]
[ 2015-01-02T18:32:12+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.144165s ]
[ 2015-01-02T18:32:12+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-01-02T18:32:12+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.015614s ]
[ 2015-01-02T18:32:12+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.006485s ]
[ 2015-01-02T18:32:12+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004877s ]
[ 2015-01-02T18:32:12+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.010827s ]
[ 2015-01-02T18:32:12+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.038556s ]
[ 2015-01-02T18:32:12+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
