[ 2015-01-14T09:10:01+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-01-14T09:10:02+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.036366s ]
[ 2015-01-14T09:10:02+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.056012s ]
[ 2015-01-14T09:10:02+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-01-14T09:10:02+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.020552s ]
[ 2015-01-14T09:10:02+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.020823s ]
[ 2015-01-14T09:10:02+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-01-14T09:10:02+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 18 行.
[ 2015-01-14T09:10:02+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.141604s ]
[ 2015-01-14T09:10:02+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.141831s ]
[ 2015-01-14T09:10:02+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-01-14T09:10:02+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.005245s ]
[ 2015-01-14T09:10:02+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.005498s ]
[ 2015-01-14T09:10:02+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004317s ]
[ 2015-01-14T09:10:02+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.005282s ]
[ 2015-01-14T09:10:02+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.020919s ]
[ 2015-01-14T09:10:02+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-01-14T09:10:02+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.005382s ]
[ 2015-01-14T09:10:02+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.005579s ]
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002633s ]
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002973s ]
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.085989s ]
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.086305s ]
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 18 行.
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.181406s ]
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.181632s ]
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.015165s ]
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.005017s ]
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004427s ]
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.006675s ]
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.031844s ]
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.005290s ]
[ 2015-01-14T09:13:44+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.005489s ]
[ 2015-01-14T09:25:14+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-01-14T09:25:15+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.222535s ]
[ 2015-01-14T09:25:15+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.222904s ]
[ 2015-01-14T09:25:15+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-01-14T09:25:15+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.066155s ]
[ 2015-01-14T09:25:15+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.066445s ]
[ 2015-01-14T09:25:15+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-01-14T09:25:16+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 18 行.
[ 2015-01-14T09:25:16+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:1.155735s ]
[ 2015-01-14T09:25:16+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:1.155962s ]
[ 2015-01-14T09:25:16+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-01-14T09:25:16+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.026036s ]
[ 2015-01-14T09:25:16+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.077723s ]
[ 2015-01-14T09:25:16+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.077891s ]
[ 2015-01-14T09:25:16+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.097429s ]
[ 2015-01-14T09:25:16+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.279824s ]
[ 2015-01-14T09:25:16+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-01-14T09:25:16+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.168392s ]
[ 2015-01-14T09:25:16+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.168648s ]
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006512s ]
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007708s ]
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.007946s ]
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.008209s ]
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 18 行.
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.113783s ]
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.113995s ]
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.004232s ]
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.004994s ]
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003417s ]
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.004242s ]
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.017421s ]
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.004168s ]
[ 2015-01-14T09:31:08+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.004347s ]
