[ 2014-11-29T10:02:22+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-29T10:02:22+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.036259s ]
[ 2014-11-29T10:02:22+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.053326s ]
[ 2014-11-29T10:02:22+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2014-11-29T10:02:22+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.012525s ]
[ 2014-11-29T10:02:22+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.012841s ]
[ 2014-11-29T10:02:22+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2014-11-29T10:02:22+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 14 行.
[ 2014-11-29T10:02:22+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.243370s ]
[ 2014-11-29T10:02:22+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.243638s ]
[ 2014-11-29T10:02:22+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2014-11-29T10:02:22+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.004947s ]
[ 2014-11-29T10:02:22+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.006218s ]
[ 2014-11-29T10:02:22+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004970s ]
[ 2014-11-29T10:02:22+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.005315s ]
[ 2014-11-29T10:02:22+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.022160s ]
[ 2014-11-29T10:02:22+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2014-11-29T10:02:22+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.007274s ]
