[ 2015-01-03T07:54:03+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-01-03T07:54:03+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.035854s ]
[ 2015-01-03T07:54:03+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.056339s ]
[ 2015-01-03T07:54:03+08:00 ] /gisproject/ | SQL: SHOW COLUMNS FROM `tb_point` [ RunTime:0.100342s ]
[ 2015-01-03T07:54:03+08:00 ] /gisproject/ | SQL: SELECT timestamp,AsText(point),type,name,introduce,attention,score,uri FROM tb_point ORDER BY AsText(point),timestamp ASC  [ RunTime:0.110259s ]
[ 2015-01-03T07:54:03+08:00 ] /gisproject/ | NOTIC: [8] Undefined offset:  17 IndexAction.class.php 第 30 行.
[ 2015-01-03T07:54:03+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-01-03T07:54:03+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.054069s ]
[ 2015-01-03T07:54:03+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.054325s ]
[ 2015-01-03T07:54:03+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-01-03T07:54:04+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.188716s ]
[ 2015-01-03T07:54:04+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.188987s ]
[ 2015-01-03T07:54:04+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-01-03T07:54:04+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.037730s ]
[ 2015-01-03T07:54:04+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.006855s ]
[ 2015-01-03T07:54:04+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004665s ]
[ 2015-01-03T07:54:04+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.010678s ]
[ 2015-01-03T07:54:04+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.060582s ]
[ 2015-01-03T07:54:04+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-01-03T07:54:04+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.012677s ]
[ 2015-01-03T07:54:04+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.012934s ]
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005395s ]
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005773s ]
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | SQL: SHOW COLUMNS FROM `tb_point` [ RunTime:0.012078s ]
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | SQL: SELECT timestamp,AsText(point),type,name,introduce,attention,score,uri FROM tb_point ORDER BY AsText(point),timestamp ASC  [ RunTime:0.005506s ]
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | NOTIC: [8] Undefined offset:  17 IndexAction.class.php 第 30 行.
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.007338s ]
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.007558s ]
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.059833s ]
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.060057s ]
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.003664s ]
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.004065s ]
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003089s ]
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003825s ]
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015119s ]
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.005040s ]
[ 2015-01-03T07:54:25+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.005269s ]
[ 2015-01-03T07:56:05+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-01-03T07:56:05+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005307s ]
[ 2015-01-03T07:56:05+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005664s ]
[ 2015-01-03T07:56:05+08:00 ] /gisproject/ | SQL: SHOW COLUMNS FROM `tb_point` [ RunTime:0.014121s ]
[ 2015-01-03T07:56:05+08:00 ] /gisproject/ | SQL: SELECT timestamp,AsText(point),type,name,introduce,attention,score,uri FROM tb_point ORDER BY AsText(point),timestamp ASC  [ RunTime:0.006238s ]
[ 2015-01-03T07:56:05+08:00 ] /gisproject/ | NOTIC: [8] Undefined offset:  17 IndexAction.class.php 第 30 行.
[ 2015-01-03T07:56:05+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-01-03T07:56:05+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.006834s ]
[ 2015-01-03T07:56:05+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.007031s ]
[ 2015-01-03T07:56:05+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-01-03T07:56:05+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.059305s ]
