[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.052540s ]
[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.053428s ]
[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.061861s ]
[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.062026s ]
[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 21 行.
[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.147392s ]
[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.147502s ]
[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.013806s ]
[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.004898s ]
[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003752s ]
[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003440s ]
[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.026276s ]
[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003587s ]
[ 2015-01-29T11:52:49+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003682s ]
[ 2015-01-29T11:53:42+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-01-29T11:53:42+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001618s ]
[ 2015-01-29T11:53:42+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001846s ]
[ 2015-01-29T11:53:42+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-01-29T11:53:42+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001126s ]
[ 2015-01-29T11:53:42+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001289s ]
[ 2015-01-29T11:53:42+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-01-29T11:53:42+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 21 行.
[ 2015-01-29T11:53:42+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.025604s ]
