[ 2014-11-28T08:48:24+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-28T08:48:24+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.031591s ]
[ 2014-11-28T08:48:24+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.048296s ]
[ 2014-11-28T08:48:24+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2014-11-28T08:48:24+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.009172s ]
[ 2014-11-28T08:48:24+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.009436s ]
[ 2014-11-28T08:48:24+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2014-11-28T08:48:24+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 14 行.
[ 2014-11-28T08:48:24+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.109562s ]
[ 2014-11-28T08:48:24+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.109789s ]
[ 2014-11-28T08:48:24+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2014-11-28T08:48:24+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.005248s ]
[ 2014-11-28T08:48:24+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.005724s ]
[ 2014-11-28T08:48:25+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004324s ]
[ 2014-11-28T08:48:25+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.005318s ]
[ 2014-11-28T08:48:25+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.021193s ]
[ 2014-11-28T08:48:25+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2014-11-28T08:48:25+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.018969s ]
[ 2014-11-28T08:48:25+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.019204s ]
[ 2014-11-28T13:15:41+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-28T13:15:41+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007478s ]
[ 2014-11-28T13:15:41+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007839s ]
[ 2014-11-28T13:15:41+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2014-11-28T13:15:41+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.041392s ]
[ 2014-11-28T13:15:41+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.041672s ]
[ 2014-11-28T13:15:41+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2014-11-28T13:15:42+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 14 行.
[ 2014-11-28T13:15:42+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.450412s ]
[ 2014-11-28T13:15:42+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.450632s ]
[ 2014-11-28T13:15:42+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2014-11-28T13:15:42+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.017635s ]
[ 2014-11-28T13:15:42+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.047553s ]
[ 2014-11-28T13:15:42+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.008021s ]
[ 2014-11-28T13:15:42+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.005788s ]
[ 2014-11-28T13:15:42+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.079690s ]
[ 2014-11-28T13:15:42+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2014-11-28T13:15:42+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.013940s ]
[ 2014-11-28T13:15:42+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.014201s ]
[ 2014-11-28T15:22:00+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-28T15:22:00+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005279s ]
[ 2014-11-28T15:22:00+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.029036s ]
