[ 2015-02-16T09:38:19+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-16T09:38:19+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.158090s ]
[ 2015-02-16T09:38:19+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.193318s ]
[ 2015-02-16T09:38:19+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-02-16T09:38:19+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.113941s ]
[ 2015-02-16T09:38:19+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.114154s ]
[ 2015-02-16T09:38:19+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-16T09:38:20+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 20 行.
[ 2015-02-16T09:38:20+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.647878s ]
[ 2015-02-16T09:38:20+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.648071s ]
[ 2015-02-16T09:38:20+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-16T09:38:20+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.030082s ]
[ 2015-02-16T09:38:20+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.005771s ]
[ 2015-02-16T09:38:20+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.021561s ]
[ 2015-02-16T09:38:20+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.005277s ]
[ 2015-02-16T09:38:20+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.063166s ]
[ 2015-02-16T09:38:20+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-02-16T09:38:20+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.007865s ]
[ 2015-02-16T09:38:20+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.008020s ]
[ 2015-02-16T10:05:10+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-16T10:05:10+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004278s ]
[ 2015-02-16T10:05:10+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004465s ]
[ 2015-02-16T10:05:10+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-02-16T10:05:10+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.018992s ]
[ 2015-02-16T10:05:10+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.019127s ]
[ 2015-02-16T10:05:10+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-16T10:05:10+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 20 行.
[ 2015-02-16T10:05:10+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.094169s ]
[ 2015-02-16T10:05:10+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.094298s ]
[ 2015-02-16T10:05:10+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-16T10:05:10+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.003393s ]
[ 2015-02-16T10:05:10+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.002900s ]
[ 2015-02-16T10:05:10+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002776s ]
[ 2015-02-16T10:05:10+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.004778s ]
[ 2015-02-16T10:05:10+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.014202s ]
[ 2015-02-16T10:05:10+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-02-16T10:05:10+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003962s ]
