[ 2014-12-06T21:09:07+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2014-12-06T21:09:07+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.040151s ]
[ 2014-12-06T21:09:07+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.042286s ]
[ 2014-12-06T21:09:08+08:00 ] /gisproject/ | SQL: SHOW COLUMNS FROM `tb_point` [ RunTime:0.181917s ]
[ 2014-12-06T21:09:08+08:00 ] /gisproject/ | SQL: SELECT COUNT(*) AS tp_count FROM `tb_point` LIMIT 1   [ RunTime:0.063297s ]
[ 2014-12-06T21:09:08+08:00 ] /gisproject/ | SQL: SELECT timestamp,AsText(point),type,name,introduce,attention,score,uri FROM tb_point  [ RunTime:0.060323s ]
[ 2014-12-06T21:09:08+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2014-12-06T21:09:08+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.021395s ]
[ 2014-12-06T21:09:08+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.021678s ]
[ 2014-12-06T21:09:08+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2014-12-06T21:09:08+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 16 行.
[ 2014-12-06T21:09:08+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.244625s ]
[ 2014-12-06T21:09:08+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.244874s ]
[ 2014-12-06T21:09:08+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2014-12-06T21:09:08+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.015235s ]
[ 2014-12-06T21:09:08+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.009945s ]
