[ 2015-05-18T09:22:29+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-05-18T09:22:29+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.034458s ]
[ 2015-05-18T09:22:29+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.061070s ]
[ 2015-05-18T09:22:30+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-05-18T09:22:30+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.013440s ]
[ 2015-05-18T09:22:30+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.013687s ]
[ 2015-05-18T09:22:30+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-05-18T09:22:30+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 36 行.
[ 2015-05-18T09:22:30+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 37 行.
[ 2015-05-18T09:22:30+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.283644s ]
[ 2015-05-18T09:22:30+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.283809s ]
[ 2015-05-18T09:22:30+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-05-18T09:22:30+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.009292s ]
[ 2015-05-18T09:22:30+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.003284s ]
[ 2015-05-18T09:22:30+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003512s ]
[ 2015-05-18T09:22:30+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003448s ]
[ 2015-05-18T09:22:30+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.019871s ]
[ 2015-05-18T09:22:30+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-05-18T09:22:30+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002850s ]
[ 2015-05-18T09:22:30+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002966s ]
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002496s ]
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002696s ]
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.003365s ]
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003546s ]
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 36 行.
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 37 行.
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.035387s ]
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.035517s ]
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.001856s ]
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.001803s ]
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001322s ]
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001616s ]
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006838s ]
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001627s ]
[ 2015-05-18T09:30:55+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001711s ]
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001856s ]
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002004s ]
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002588s ]
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002709s ]
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 36 行.
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 37 行.
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.027382s ]
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027470s ]
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.001744s ]
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.001983s ]
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001719s ]
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001737s ]
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007435s ]
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002214s ]
[ 2015-05-18T09:31:12+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002313s ]
[ 2015-05-18T09:31:26+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-05-18T09:31:26+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001849s ]
[ 2015-05-18T09:31:26+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001990s ]
[ 2015-05-18T09:31:26+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-05-18T09:31:26+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002524s ]
[ 2015-05-18T09:31:26+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002629s ]
[ 2015-05-18T09:31:26+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-05-18T09:31:27+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 36 行.
[ 2015-05-18T09:31:27+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 37 行.
[ 2015-05-18T09:31:27+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.030604s ]
[ 2015-05-18T09:31:27+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.030692s ]
[ 2015-05-18T09:31:27+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-05-18T09:31:27+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.001561s ]
[ 2015-05-18T09:31:27+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.001689s ]
[ 2015-05-18T09:31:27+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001811s ]
[ 2015-05-18T09:31:27+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001610s ]
[ 2015-05-18T09:31:27+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006885s ]
[ 2015-05-18T09:31:27+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-05-18T09:31:27+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001614s ]
[ 2015-05-18T09:31:27+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001686s ]
