[ 2015-02-25T20:01:11+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-25T20:01:11+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.036511s ]
[ 2015-02-25T20:01:11+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.050327s ]
[ 2015-02-25T20:01:11+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-02-25T20:01:11+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.044511s ]
[ 2015-02-25T20:01:11+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.044826s ]
[ 2015-02-25T20:01:11+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-25T20:01:11+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 21 行.
[ 2015-02-25T20:01:11+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.263609s ]
[ 2015-02-25T20:01:11+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.263840s ]
[ 2015-02-25T20:01:11+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-25T20:01:11+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.028362s ]
[ 2015-02-25T20:01:11+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.006288s ]
[ 2015-02-25T20:01:11+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004582s ]
[ 2015-02-25T20:01:11+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.011340s ]
[ 2015-02-25T20:01:11+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.051232s ]
[ 2015-02-25T20:01:11+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-02-25T20:01:11+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.006510s ]
