[ 2014-12-11T06:30:37+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2014-12-11T06:30:37+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.187649s ]
[ 2014-12-11T06:30:37+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.209836s ]
[ 2014-12-11T06:30:48+08:00 ] /gisproject/ | SQL: SHOW COLUMNS FROM `tb_point` [ RunTime:1.825449s ]
[ 2014-12-11T06:30:49+08:00 ] /gisproject/ | SQL: SELECT timestamp,AsText(point),type,name,introduce,attention,score,uri FROM tb_point order by AsText(point),timestamp DESC  [ RunTime:0.358251s ]
[ 2014-12-11T06:30:49+08:00 ] /gisproject/ | NOTIC: [8] Undefined offset:  8 IndexAction.class.php 第 30 行.
[ 2014-12-11T06:30:49+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2014-12-11T06:30:49+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.220079s ]
[ 2014-12-11T06:30:49+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.220469s ]
[ 2014-12-11T06:30:49+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2014-12-11T06:30:50+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 17 行.
[ 2014-12-11T06:30:50+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.812938s ]
[ 2014-12-11T06:30:50+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.813269s ]
[ 2014-12-11T06:30:50+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2014-12-11T06:30:50+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.028600s ]
[ 2014-12-11T06:30:50+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.022337s ]
[ 2014-12-11T06:30:50+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.006193s ]
[ 2014-12-11T06:30:50+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.006090s ]
[ 2014-12-11T06:30:50+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.065021s ]
[ 2014-12-11T06:30:50+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2014-12-11T06:30:50+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.008421s ]
[ 2014-12-11T06:30:50+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.008836s ]
[ 2014-12-11T18:26:24+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2014-12-11T18:26:24+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.059815s ]
[ 2014-12-11T18:26:24+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.088922s ]
[ 2014-12-11T18:26:27+08:00 ] /gisproject/ | SQL: SHOW COLUMNS FROM `tb_point` [ RunTime:0.216669s ]
[ 2014-12-11T18:26:27+08:00 ] /gisproject/ | SQL: SELECT timestamp,AsText(point),type,name,introduce,attention,score,uri FROM tb_point order by AsText(point),timestamp DESC  [ RunTime:0.157611s ]
