[ 2015-02-02T09:12:43+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-02T09:12:43+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.089116s ]
[ 2015-02-02T09:12:43+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.157663s ]
[ 2015-02-02T09:12:43+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-02-02T09:12:43+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.076250s ]
[ 2015-02-02T09:12:43+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.076437s ]
[ 2015-02-02T09:12:43+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-02T09:12:43+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 20 行.
[ 2015-02-02T09:12:43+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.362042s ]
[ 2015-02-02T09:12:43+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.362161s ]
[ 2015-02-02T09:12:43+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-02T09:12:43+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.119961s ]
[ 2015-02-02T09:12:43+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.069850s ]
[ 2015-02-02T09:12:44+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.075052s ]
[ 2015-02-02T09:12:44+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.036316s ]
[ 2015-02-02T09:12:44+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.301692s ]
[ 2015-02-02T09:12:44+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-02-02T09:12:44+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.039896s ]
[ 2015-02-02T09:12:44+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.040041s ]
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003987s ]
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004262s ]
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.008183s ]
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.008383s ]
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 20 行.
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.036060s ]
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.036221s ]
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.003746s ]
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.003535s ]
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002789s ]
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.004738s ]
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015355s ]
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003850s ]
[ 2015-02-02T09:15:04+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.004014s ]
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001690s ]
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001930s ]
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001166s ]
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001319s ]
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 20 行.
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.029623s ]
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.029777s ]
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.001193s ]
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.001241s ]
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000784s ]
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003981s ]
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007622s ]
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001525s ]
[ 2015-02-02T09:15:27+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001673s ]
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001696s ]
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001940s ]
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001265s ]
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001455s ]
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 20 行.
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.028301s ]
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.028454s ]
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.001228s ]
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.001803s ]
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000787s ]
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001381s ]
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005612s ]
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001491s ]
[ 2015-02-02T09:17:03+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001652s ]
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003779s ]
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004026s ]
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.005061s ]
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.005237s ]
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 20 行.
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.042532s ]
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.042685s ]
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.003076s ]
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.003453s ]
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.006249s ]
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003329s ]
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.016523s ]
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003542s ]
[ 2015-02-02T09:17:16+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003688s ]
[ 2015-02-02T09:17:46+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-02T09:17:46+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004505s ]
[ 2015-02-02T09:17:46+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004842s ]
[ 2015-02-02T09:17:46+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-02-02T09:17:46+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.004679s ]
[ 2015-02-02T09:17:46+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.004854s ]
[ 2015-02-02T09:17:46+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-02T09:17:46+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 20 行.
[ 2015-02-02T09:17:46+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.071806s ]
[ 2015-02-02T09:17:46+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.072023s ]
