[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.037845s ]
[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.038727s ]
[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.137361s ]
[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.137521s ]
[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 21 行.
[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.261723s ]
[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.261969s ]
[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.008835s ]
[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.003294s ]
[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002590s ]
[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003042s ]
[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.018092s ]
[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.004177s ]
[ 2015-05-07T15:48:15+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.004279s ]
