[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.035083s ]
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.049830s ]
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.004717s ]
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.004899s ]
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 36 行.
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 37 行.
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.085927s ]
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.086036s ]
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.001628s ]
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.001830s ]
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001330s ]
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001618s ]
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006627s ]
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001913s ]
[ 2015-05-15T19:33:44+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001997s ]
