[ 2014-12-07T06:37:11+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2014-12-07T06:37:11+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.032756s ]
[ 2014-12-07T06:37:11+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.051857s ]
[ 2014-12-07T06:37:14+08:00 ] /gisproject/ | SQL: SHOW COLUMNS FROM `tb_point` [ RunTime:0.616819s ]
[ 2014-12-07T06:37:14+08:00 ] /gisproject/ | SQL: SELECT COUNT(*) AS tp_count FROM `tb_point` LIMIT 1   [ RunTime:0.166787s ]
[ 2014-12-07T06:37:14+08:00 ] /gisproject/ | SQL: SELECT timestamp,AsText(point),type,name,introduce,attention,score,uri FROM tb_point  [ RunTime:0.136377s ]
[ 2014-12-07T06:37:15+08:00 ] /gisproject/ | NOTIC: [8] Undefined variable: point_introduce IndexAction.class.php 第 39 行.
[ 2014-12-07T06:37:15+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2014-12-07T06:37:15+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.041716s ]
[ 2014-12-07T06:37:15+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.041962s ]
[ 2014-12-07T06:37:15+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2014-12-07T06:37:15+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 16 行.
[ 2014-12-07T06:37:15+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.220134s ]
[ 2014-12-07T06:37:15+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.220361s ]
[ 2014-12-07T06:37:15+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2014-12-07T06:37:15+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.029778s ]
[ 2014-12-07T06:37:15+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.019823s ]
[ 2014-12-07T06:37:15+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.016421s ]
[ 2014-12-07T06:37:15+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.005306s ]
[ 2014-12-07T06:37:15+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.071977s ]
[ 2014-12-07T06:37:15+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2014-12-07T06:37:15+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.017068s ]
[ 2014-12-07T06:37:15+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.017327s ]
[ 2014-12-07T06:41:41+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2014-12-07T06:41:41+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007869s ]
[ 2014-12-07T06:41:41+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008255s ]
[ 2014-12-07T06:41:41+08:00 ] /gisproject/ | SQL: SHOW COLUMNS FROM `tb_point` [ RunTime:0.010934s ]
[ 2014-12-07T06:41:41+08:00 ] /gisproject/ | SQL: SELECT COUNT(*) AS tp_count FROM `tb_point` LIMIT 1   [ RunTime:0.002571s ]
[ 2014-12-07T06:41:41+08:00 ] /gisproject/ | SQL: SELECT timestamp,AsText(point),type,name,introduce,attention,score,uri FROM tb_point  [ RunTime:0.000773s ]
[ 2014-12-07T06:41:41+08:00 ] /gisproject/ | NOTIC: [8] Undefined variable: point_introduce IndexAction.class.php 第 39 行.
[ 2014-12-07T06:41:41+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2014-12-07T06:41:41+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.006123s ]
[ 2014-12-07T06:41:41+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.006320s ]
[ 2014-12-07T06:41:41+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
