[ 2014-12-18T20:06:56+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2014-12-18T20:06:56+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005470s ]
[ 2014-12-18T20:06:56+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005838s ]
[ 2014-12-18T20:06:56+08:00 ] /gisproject/ | SQL: SHOW COLUMNS FROM `tb_point` [ RunTime:0.028993s ]
[ 2014-12-18T20:06:56+08:00 ] /gisproject/ | SQL: SELECT timestamp,AsText(point),type,name,introduce,attention,score,uri FROM tb_point order by AsText(point),timestamp DESC  [ RunTime:0.005806s ]
[ 2014-12-18T20:06:56+08:00 ] /gisproject/ | NOTIC: [8] Undefined offset:  8 IndexAction.class.php 第 30 行.
[ 2014-12-18T20:06:56+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2014-12-18T20:06:56+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.024120s ]
[ 2014-12-18T20:06:56+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.024339s ]
[ 2014-12-18T20:06:56+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2014-12-18T20:06:57+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.076799s ]
[ 2014-12-18T20:06:57+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.076995s ]
[ 2014-12-18T20:06:57+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2014-12-18T20:06:57+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.003505s ]
[ 2014-12-18T20:06:57+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.003488s ]
[ 2014-12-18T20:06:57+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003641s ]
[ 2014-12-18T20:06:57+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.004123s ]
[ 2014-12-18T20:06:57+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015291s ]
[ 2014-12-18T20:06:57+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2014-12-18T20:06:57+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003509s ]
[ 2014-12-18T20:06:57+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003668s ]
