[ 2015-03-22T11:30:55+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-03-22T11:30:56+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.037978s ]
[ 2015-03-22T11:30:56+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.079811s ]
[ 2015-03-22T11:30:56+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-03-22T11:30:56+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.047066s ]
[ 2015-03-22T11:30:56+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.047226s ]
[ 2015-03-22T11:30:56+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-03-22T11:30:56+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 21 行.
[ 2015-03-22T11:30:56+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.205579s ]
[ 2015-03-22T11:30:56+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.205675s ]
[ 2015-03-22T11:30:56+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-03-22T11:30:56+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.010316s ]
[ 2015-03-22T11:30:56+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.004566s ]
[ 2015-03-22T11:30:56+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003509s ]
[ 2015-03-22T11:30:56+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003243s ]
[ 2015-03-22T11:30:56+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.022007s ]
[ 2015-03-22T11:30:56+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-03-22T11:30:56+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003825s ]
[ 2015-03-22T11:30:56+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003960s ]
[ 2015-03-22T11:41:03+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-03-22T11:41:03+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001805s ]
[ 2015-03-22T11:41:03+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001974s ]
[ 2015-03-22T11:41:03+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-03-22T11:41:03+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001974s ]
[ 2015-03-22T11:41:03+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002043s ]
[ 2015-03-22T11:41:03+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-03-22T11:41:03+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 21 行.
