[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.022495s ]
[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.046759s ]
[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.020671s ]
[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.020866s ]
[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 21 行.
[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.214704s ]
[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.214838s ]
[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.013017s ]
[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.003388s ]
[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003166s ]
[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003607s ]
[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.023521s ]
[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003776s ]
[ 2015-02-23T09:47:06+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003882s ]
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006693s ]
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.046103s ]
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.041963s ]
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.042149s ]
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 21 行.
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.207827s ]
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.207967s ]
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.007670s ]
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.003503s ]
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003136s ]
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003665s ]
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.018289s ]
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003915s ]
[ 2015-02-23T15:17:47+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.004017s ]
[ 2015-02-23T15:19:46+08:00 ] /gisproject/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-02-23T15:19:46+08:00 ] /gisproject/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.003392s ]
[ 2015-02-23T15:19:46+08:00 ] /gisproject/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003688s ]
