[ 2015-03-05T08:26:36+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-03-05T08:26:36+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.108180s ]
[ 2015-03-05T08:26:36+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.196217s ]
[ 2015-03-05T08:26:36+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-03-05T08:26:36+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.126742s ]
[ 2015-03-05T08:26:36+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.126965s ]
[ 2015-03-05T08:26:36+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-03-05T08:26:36+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 21 行.
[ 2015-03-05T08:26:36+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.286007s ]
[ 2015-03-05T08:26:36+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.286221s ]
[ 2015-03-05T08:26:36+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-03-05T08:26:36+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.039110s ]
[ 2015-03-05T08:26:37+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.018988s ]
[ 2015-03-05T08:26:37+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.006354s ]
[ 2015-03-05T08:26:37+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.014641s ]
[ 2015-03-05T08:26:37+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.079535s ]
[ 2015-03-05T08:26:37+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-03-05T08:26:37+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.014056s ]
[ 2015-03-05T08:26:37+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.014200s ]
[ 2015-03-05T10:53:17+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-03-05T10:53:17+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.035931s ]
[ 2015-03-05T10:53:17+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.051524s ]
[ 2015-03-05T10:53:17+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-03-05T10:53:17+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.079037s ]
[ 2015-03-05T10:53:17+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.079264s ]
[ 2015-03-05T10:53:17+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-03-05T10:53:17+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 21 行.
[ 2015-03-05T10:53:17+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.253425s ]
[ 2015-03-05T10:53:17+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.253575s ]
[ 2015-03-05T10:53:17+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-03-05T10:53:17+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.015198s ]
[ 2015-03-05T10:53:17+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.006116s ]
[ 2015-03-05T10:53:17+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003472s ]
[ 2015-03-05T10:53:17+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.006168s ]
[ 2015-03-05T10:53:17+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.032161s ]
