[ 2015-01-15T08:29:54+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-01-15T08:29:54+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.032526s ]
[ 2015-01-15T08:29:54+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.033499s ]
[ 2015-01-15T08:29:54+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-01-15T08:29:54+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.020526s ]
[ 2015-01-15T08:29:54+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.020805s ]
[ 2015-01-15T08:29:54+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-01-15T08:29:55+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 20 行.
[ 2015-01-15T08:29:55+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.119672s ]
[ 2015-01-15T08:29:55+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.119986s ]
[ 2015-01-15T08:29:55+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-01-15T08:29:55+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.005178s ]
[ 2015-01-15T08:29:55+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.005529s ]
[ 2015-01-15T08:29:55+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.005210s ]
[ 2015-01-15T08:29:55+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.005780s ]
[ 2015-01-15T08:29:55+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.022300s ]
[ 2015-01-15T08:29:55+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-01-15T08:29:55+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.005361s ]
[ 2015-01-15T08:29:55+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.005563s ]
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002804s ]
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003159s ]
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001664s ]
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001910s ]
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 20 行.
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.040559s ]
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.040785s ]
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.001553s ]
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.002004s ]
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001102s ]
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002232s ]
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007501s ]
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001934s ]
[ 2015-01-15T08:30:20+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002139s ]
[ 2015-01-15T08:46:56+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-01-15T08:46:56+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006902s ]
[ 2015-01-15T08:46:56+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007253s ]
[ 2015-01-15T08:46:56+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
