[ 2015-05-28T08:53:11+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-05-28T08:53:11+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.105979s ]
[ 2015-05-28T08:53:11+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.115551s ]
[ 2015-05-28T08:53:11+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-05-28T08:53:11+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.055379s ]
[ 2015-05-28T08:53:11+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.055546s ]
[ 2015-05-28T08:53:11+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-05-28T08:53:12+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 36 行.
[ 2015-05-28T08:53:12+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 37 行.
[ 2015-05-28T08:53:12+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.228731s ]
[ 2015-05-28T08:53:12+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.228828s ]
[ 2015-05-28T08:53:12+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-05-28T08:53:12+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.010231s ]
[ 2015-05-28T08:53:12+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.003490s ]
[ 2015-05-28T08:53:12+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002212s ]
[ 2015-05-28T08:53:12+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002851s ]
[ 2015-05-28T08:53:12+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.019169s ]
[ 2015-05-28T08:53:12+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-05-28T08:53:12+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002388s ]
[ 2015-05-28T08:53:12+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002471s ]
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002231s ]
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002403s ]
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.003701s ]
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003879s ]
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 36 行.
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 37 行.
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.027596s ]
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027692s ]
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.001741s ]
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.001871s ]
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002062s ]
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001705s ]
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007669s ]
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001752s ]
[ 2015-05-28T08:54:59+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001831s ]
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002445s ]
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002627s ]
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.003655s ]
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003805s ]
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 36 行.
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 37 行.
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.029491s ]
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.029604s ]
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.006283s ]
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.001750s ]
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001861s ]
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001660s ]
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011825s ]
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001662s ]
[ 2015-05-28T08:56:06+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001739s ]
