[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.036086s ]
[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.056971s ]
[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.016637s ]
[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.016899s ]
[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 21 行.
[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.545839s ]
[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.545991s ]
[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.042212s ]
[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.003462s ]
[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002745s ]
[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003624s ]
[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.052415s ]
[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.005096s ]
[ 2015-02-21T09:12:56+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.005263s ]
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006406s ]
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006668s ]
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.005176s ]
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.005376s ]
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 21 行.
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.040118s ]
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.040272s ]
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.003086s ]
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.003143s ]
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002830s ]
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.004618s ]
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.014224s ]
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003543s ]
[ 2015-02-21T09:29:43+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003692s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.002973s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003226s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001787s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002009s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.019770s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.019903s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.130477s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.130643s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.003704s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.003279s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002910s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002879s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.013048s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.003958s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.004101s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Common/verify/ | INFO: Tag[ route_check ] --START--
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Common/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.006176s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Common/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.006438s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Common/verify/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Common/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001738s ]
[ 2015-02-21T09:47:05+08:00 ] /gisproject/index.php/Common/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001883s ]
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ route_check ] --START--
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run CheckRoute Behavior [ RunTime:0.002825s ]
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.003085s ]
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001699s ]
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001838s ]
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_template ] --START--
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run LocationTemplate Behavior [ RunTime:0.013712s ]
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.013879s ]
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ParseTemplate Behavior [ RunTime:0.039230s ]
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.039409s ]
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ContentReplace Behavior [ RunTime:0.001095s ]
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run TokenBuild Behavior [ RunTime:0.001122s ]
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000768s ]
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001338s ]
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004699s ]
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_end ] --START--
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001659s ]
[ 2015-02-21T09:47:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001810s ]
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ route_check ] --START--
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run CheckRoute Behavior [ RunTime:0.006207s ]
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.006467s ]
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004325s ]
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004481s ]
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_template ] --START--
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run LocationTemplate Behavior [ RunTime:0.006178s ]
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.006344s ]
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ParseTemplate Behavior [ RunTime:0.059641s ]
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.059859s ]
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ContentReplace Behavior [ RunTime:0.006329s ]
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run TokenBuild Behavior [ RunTime:0.005412s ]
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002743s ]
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003237s ]
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.018293s ]
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_end ] --START--
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003123s ]
[ 2015-02-21T09:48:27+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003245s ]
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ route_check ] --START--
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run CheckRoute Behavior [ RunTime:0.006790s ]
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.007105s ]
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003892s ]
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004054s ]
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_template ] --START--
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run LocationTemplate Behavior [ RunTime:0.005533s ]
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.011712s ]
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ParseTemplate Behavior [ RunTime:0.058581s ]
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.058755s ]
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ContentReplace Behavior [ RunTime:0.002766s ]
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run TokenBuild Behavior [ RunTime:0.003074s ]
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002815s ]
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002983s ]
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011998s ]
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_end ] --START--
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.006495s ]
[ 2015-02-21T09:49:31+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.006681s ]
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ route_check ] --START--
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run CheckRoute Behavior [ RunTime:0.005130s ]
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.005429s ]
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003711s ]
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003857s ]
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_template ] --START--
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run LocationTemplate Behavior [ RunTime:0.005873s ]
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.006042s ]
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ParseTemplate Behavior [ RunTime:0.078212s ]
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.078460s ]
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ContentReplace Behavior [ RunTime:0.004730s ]
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run TokenBuild Behavior [ RunTime:0.005691s ]
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004272s ]
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ShowRuntime Behavior [ RunTime:0.006905s ]
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.022405s ]
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_end ] --START--
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003393s ]
[ 2015-02-21T09:50:43+08:00 ] /gisproject/index.php/Index/index/username/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003541s ]
[ 2015-02-21T09:53:25+08:00 ] /gisproject/index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2015-02-21T09:53:25+08:00 ] /gisproject/index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.002798s ]
[ 2015-02-21T09:53:25+08:00 ] /gisproject/index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003074s ]
[ 2015-02-21T09:53:25+08:00 ] /gisproject/index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2015-02-21T09:53:25+08:00 ] /gisproject/index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001589s ]
[ 2015-02-21T09:53:25+08:00 ] /gisproject/index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001712s ]
[ 2015-02-21T09:53:25+08:00 ] /gisproject/index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2015-02-21T09:53:25+08:00 ] /gisproject/index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.004890s ]
[ 2015-02-21T09:53:25+08:00 ] /gisproject/index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.005044s ]
[ 2015-02-21T09:53:25+08:00 ] /gisproject/index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2015-02-21T09:53:25+08:00 ] /gisproject/index.php/Index/index | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 21 行.
[ 2015-02-21T09:53:25+08:00 ] /gisproject/index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.036756s ]
[ 2015-02-21T09:53:25+08:00 ] /gisproject/index.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.036887s ]
